,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for,Immediate possession
804,"2 BHK in Jain Amrit, Perungudi","Panchayat Road,thirumalai Nagar ,near Selva Vinayagar Alayam And ...",20000,100000,945,UnFurnished,>10 years ,Family,Ready to Move
805,3 BHK in Iyyappanthangal,"Independent House, Mahalakshmi Nagar, Near Srinivasa Kalyana Man ...",15000,150000,1450,UnFurnished,1-3 years ,All,Ready to Move
806,"3 BHK in Sree Sai Balaji Apartments, Velachery","Nethaji Street, Astalakshmi Nagar,near Ramiyam Flats And Phoenix ...",21000,100000,1600,Semi Furnished,5-10 years ,All,Ready to Move
807,"3 BHK in JP Towers, Nungambakkam","Dr Thirumoorthy Nagar Main Rd, Near Anjappar Chettinad Restaurant ...",41000,240000,1575,Semi Furnished,>10 years ,All,Ready to Move
808,"2 BHK in Lemon Grass Apartmnt, Ramapuram","Poothapedu Main Road,nsc Bose Nagar,near Vignesh Hospital",17000,150000,949,UnFurnished,1-3 years ,Family,Ready to Move
809,2 BHK in Thiruvanmiyur,"Independent House, Lb Road Kamaraj Nagar, Near Bsnl Office And Sr ...",25000,250000,1050,Semi Furnished,Newly Constructed,All,Ready to Move
810,2 BHK in Velachery,"Standalone Building, Velachery Rd, Near The Chennai Silks",16000,90000,900,Semi Furnished,5-10 years ,Family,Ready to Move
811,"3 BHK in Bbcl Ashraya, Thoraipakkam","Pillaiyar Koil Street, Thoraipakkam, Omr, Chennai , Tamil Nadu, I ...",22000,132000,1140,Semi Furnished,Newly Constructed,Family,20-Feb-2019
812,"3 BHK in Ssm Nagar, Perungalathur","Alappakam, New Perungalathur, Chennai, Tamil Nadu, India.",12000,75000,1920,Semi Furnished,Newly Constructed,All,Ready to Move
813,"2 BHK in Majestic Shore, Kodambakkam",Choolaimedu High Road Near Kodambakkam Puliyur Masjid,25000,100000,850,Semi Furnished,3-5 years ,Family,Ready to Move
814,"2 BHK in Sri Balaji Flats, Chitlapakkam",Near Punjab National Bank,10000,100000,900,Semi Furnished,1-3 years ,Family,Ready to Move
815,"2 BHK in karthigai flats, Selaiyur","Nellur Amman Koil Street, Near Nellur Amman Koil",13000,60000,850,UnFurnished,3-5 years ,Family,Ready to Move
816,1 BHK in Medavakkam,"Standalone Building, Erikarai St Near New Prince Shri Bhavani Art ...",7000,35000,700,UnFurnished,Newly Constructed,Family,Ready to Move
817,"1 BHK in kamalesh, New Perungalathur","Nethaji Street, Srinivasa Nagar, Near Srinivasa Perumal Temple",7900,30000,700,UnFurnished,1-3 years ,All,Ready to Move
818,3 BHK in Ayanambakkam,"Independent House, Plot 19, Aishwarya Nagar ,near Sun Stone Appar ...",24500,150000,2300,Semi Furnished,Newly Constructed,Family,Ready to Move
819,"3 BHK in Bollineni Hillside, Sithalapakkam","Perumbakkam Road, Nookampalayam, Arasankazhani, Sithalapakkam, Ch ...",20000,120000,1250,Semi Furnished,3-5 years ,Family,01-Mar-2019
820,"3 BHK in Sri Dattatreya's, Choolaimedu","Choolaimedu High Rd, Opp Aavin Dairy Store",27500,150000,1250,Semi Furnished,1-3 years ,Family,Ready to Move
821,1 RK in Villivakkam,"Independent House, Ramakrishna Nagar, Near Goodwill School",7000,50000,550,UnFurnished,>10 years ,Family,Ready to Move
822,"3 BHK in Ceebros River Heights, Nungambakkam","Ceebros River Heights, 315, Valluvar Kottam High Rd, Nungambakkam ...",50000,500000,1500,Semi Furnished,>10 years ,All,Ready to Move
823,1 BHK in Korattur,"Standalone Building, Annai Rajammal Nagar 1st Street Near Allianc ...",9000,90000,500,Semi Furnished,1-3 years ,Family,Ready to Move
824,"3 BHK in SM Builders, Pallavaram","Abdul Farook Shahib, Street, Near Lakshmi Palace",16000,160000,900,UnFurnished,1-3 years ,Family,Ready to Move
825,2 BHK in Alwarthirunagar,"Standalone Building, Near Lamech School",12000,60000,900,Semi Furnished,>10 years ,Family,Ready to Move
826,2 BHK in Porur,"Independent House, Kumudam Nagar, Mugalivakkam Main Road, Near Ke ...",10000,50000,520,UnFurnished,5-10 years ,Family,Ready to Move
827,4+ BHK in Chetpet,"Independent House, Nowroji Road Near Taylors Road Bus Stop",125000,800000,4400,Semi Furnished,5-10 years ,All,Ready to Move
828,2 BHK in Annanagar East,"Standalone Building, Koyambedu Near Palamuthir Cholai Fruit Shop ...",16000,100000,700,Semi Furnished,>10 years ,All,Ready to Move
829,"3 BHK in VL Makes Apartment, Kovilambakkam","Kavimani Nagar 4th St, Near E.c.i Church Kovilambakkam And Kovila ...",15000,75000,1400,Semi Furnished,Newly Constructed,Family,Ready to Move
830,3 BHK in Ambattur,"Independent House, Banu Nagar West, 20th Avenue, Near Annai Viole ...",25000,200000,1800,Semi Furnished,5-10 years ,All,Ready to Move
831,"4 BHK in Maxworth Nagar, Nr.Pallikaranai","Standalone Building, Pallikaranai,maxworth Nagar Street, Near Jon ...",25000,150000,3200,Full Furnished,Newly Constructed,Family,05-Apr-2019
832,1 RK in T Nagar,"Independent House, Giriyappa Rd Near Chennai Corporation Public S ...",7000,15000,250,UnFurnished,5-10 years ,Bachelors,Ready to Move
833,"3 BHK in Kg Signature City Phase I, Mogappair","200 Feet Bypass Road, Maduravoyal Ambattur Road, Off Poonamalee R ...",21050,100000,1230,Semi Furnished,1-3 years ,Family,01-Mar-2019
834,"1 BHK in sakthi appartment, Ullagaram, Madipakkam","Draupadi Amman Koil St, Near S R K Mahal",7500,30000,520,UnFurnished,3-5 years ,Family,Ready to Move
835,"3 BHK in S and P Living Spaces, Ayanambakkam",Mel Ayanambakkam Main Rd Near Velammal Vidhyalaya Indoor Stadium,12000,100000,1222,UnFurnished,1-3 years ,All,Ready to Move
836,"3 BHK in VL Makes Homes Privte Ltd, Kovilambakkam",Vedachalam Nagar Near Kovilambakkam Panchayat Office,13500,75000,1250,Semi Furnished,1-3 years ,Family,Ready to Move
837,1 BHK in Chintadripet,"Standalone Building, Swamy Naicken St, Near Chintadripet Sub Post ...",7500,75000,350,UnFurnished,Newly Constructed,Family,Ready to Move
838,2 BHK in Kolathur,"Standalone Building, 4th St,krishna Nagar, Near State Bank Of Ind ...",8500,40000,1000,UnFurnished,1-3 years ,Family,Ready to Move
839,"2 BHK in prem castle, Irumbuliyur","Gayathri Nagar, Near The Pentecostal Mission",13000,50000,935,Semi Furnished,Newly Constructed,All,Ready to Move
840,1 BHK in Ambattur Industrial Estate,"Standalone Building, Mogappair West Near Green Valley Matriculati ...",7000,36000,700,UnFurnished,>10 years ,All,Ready to Move
841,"2 BHK in Rahul KSV Villa, Ambattur","Indian Bank Colony,2nd Main Rd Near Lic Zonal Training Centre",7800,46800,675,UnFurnished,5-10 years ,Family,Ready to Move
842,"2 BHK in Asta Avm, Vadapalani","Avm Studios Complex, Arcot Rd, Ottagapalayam, Kannika Puram, Vada ...",30000,300000,1163,UnFurnished,Newly Constructed,Family,Ready to Move
843,3 BHK in Mylapore,"Standalone Building, Tsv Koil Street, Near Renuka Parameswari Tem ...",25000,200000,900,UnFurnished,>10 years ,All,Ready to Move
844,1 BHK in Mylapore,"Standalone Building, Tsv Koil Street, Near Renuka Parameswari Tem ...",13000,130000,500,UnFurnished,>10 years ,All,Ready to Move
845,"3 BHK in Mayura, Adyar",Kasturba Nagar Near Cafe Coffee Day,100000,1000000,2400,Full Furnished,5-10 years ,Family,Ready to Move
846,1 BHK in Royapettah,"Independent House, Gazette Begum Street, Near The Crescent Hospit ...",7000,40000,350,UnFurnished,>10 years ,All,Ready to Move
847,2 BHK in Nesapakkam,"Standalone Building, Ramapuram, Raghavendra Nagar Near Narayana E ...",15000,100000,865,Semi Furnished,3-5 years ,Family,Ready to Move
848,1 BHK in Kanathur,"Independent House, Uthandi,near Aavin Milk Booth",-,350000,650,UnFurnished,5-10 years ,All,01-May-2019
849,1 BHK in Chromepet,"Independent House, Station Rd, Radha Nagar, Near Sri Varasithy V ...",6000,30000,400,UnFurnished,>10 years ,Bachelors,Ready to Move
850,2 BHK in New Perungalathur,"Independent House, Bharathidasan Street ,near St. John's Matricul ...",12000,72000,1000,Semi Furnished,>10 years ,All,Ready to Move
851,3 BHK in Velachery,"Independent House, 100 Feet Bye Pass Road, Near Sri Murugan Mar ...",15000,60000,1200,UnFurnished,5-10 years ,Bachelors,01-Mar-2019
852,1 BHK in Purasaiwakkam,"Independent House, Solaiamman Koil Lane Near Madharsha And Sons",9000,90000,600,UnFurnished,>10 years ,Family,Ready to Move
853,2 BHK in Kottivakkam,"Independent House, Kamarajar Salai,near Kottivakkam Ag Church",20000,120000,1100,Semi Furnished,>10 years ,Family,Ready to Move
854,3 BHK in Valasaravakkam,"Independent House, Rukmani Nagar, Near Spp Gardens",18000,125000,1500,UnFurnished,3-5 years ,All,Ready to Move
855,"2 BHK in Sri Ishwaryam Homes, Selaiyur","Rickgarden,near Sai Baba Temple",10000,60000,900,Semi Furnished,1-3 years ,Family,Ready to Move
856,2 BHK in Perambur,"Standalone Building, Bb Rd Near S K Mahal",9500,90000,850,Semi Furnished,>10 years ,Family,Ready to Move
857,"3 BHK in Ozone Greens, Medavakkam",Vgp Prabhu Nagar Near Femina Super Market,25000,200000,1751,Semi Furnished,Newly Constructed,Family,Ready to Move
858,3 BHK in Taramani,"Independent House, Madhya Kailash Near Kendriya Vidyalaya Clri",45000,450000,2150,Semi Furnished,Newly Constructed,Family,Ready to Move
859,2 BHK in Porur,"Standalone Building, Sakthi Sairam Stree,near Rajiv School Of Exc ...",10000,60000,800,Semi Furnished,>10 years ,Family,Ready to Move
860,2 BHK in Kolathur,"Standalone Building, Near Drj Hospital",11000,80000,900,UnFurnished,1-3 years ,Family,Ready to Move
861,"2 BHK in Foamra Sri Bhuvanam, Nolambur","Kannadasan Salai, Near Mmm Academy Of Medical Sciences And Nolamb ...",17000,70000,1124,Semi Furnished,Newly Constructed,Family,Ready to Move
862,"3 BHK in WOW by Urban Tree, Soumya Nagar,Medavakkam","Sowmya Nagar, 2nd Main Road, Medavakkam, Chennai",15000,100000,1096,Semi Furnished,Newly Constructed,Family,Ready to Move
863,"2 BHK in Ragini apartment, Madipakkam","Medavakkam Main Road, Senthuran Colony,near Karthik Hospital",15000,100000,900,Semi Furnished,5-10 years ,Family,Ready to Move
864,"2 BHK in SELVAGANAPATHY NIVAS, Selaiyur","Valayapathi St Near Apollo Pharmacy, & Ganesh Nagar Park",12000,60000,800,Semi Furnished,Newly Constructed,Family,Ready to Move
865,"2 BHK in Anna Street, Ram Nagar, Ambattur, Chennai, Tamil Nadu, I ...","Independent House, Red Hills Road, Near Rakki Cinemas",10000,50000,900,Semi Furnished,>10 years ,Family,Ready to Move
866,"2 BHK in Olympia Opaline, Navallur","Coromandel Plaza, Old Mahabalipuram Rd Near Ags Cinemas",17000,80000,980,Semi Furnished,1-3 years ,All,Ready to Move
867,"2 BHK in TVS Emerald Green Hills, New Perungalathur","345/2b, Ngo Nagar Extn. Nedungundram, Near East Tambaram, Chennai ...",12000,72000,963,Semi Furnished,3-5 years ,Family,Ready to Move
868,3 BHK in Thiruvanmiyur,"Independent House, Dr.radhakrishna Main Rd, Near Atrium",40000,240000,1550,Semi Furnished,Newly Constructed,Family,Ready to Move
869,"2 BHK in Daffodils, Perumbakkam","Cheran Nagar, Near Gleneagles Global Health City",14500,125000,1100,Semi Furnished,1-3 years ,Family,20-Feb-2019
870,"2 BHK in GRC Rajfort, Poonamallee","3rd Cross Street, Kandaswamy Nagar, Near Shell",18000,120000,955,Full Furnished,1-3 years ,All,10-Mar-2019
871,"2 BHK in Sri Krishna Flats, Ramapuram",Near Srm University,16500,100000,940,Semi Furnished,Newly Constructed,Family,Ready to Move
872,2 BHK in Perambur,"Standalone Building, Near Corpration Office, Jawahar Nagar",17000,100000,1220,UnFurnished,5-10 years ,Family,Ready to Move
873,"2 BHK in Rajesh Yamuna Flats, Tambaram","Periyalwar St,near Bharathi Play School",11250,55000,1003,Semi Furnished,>10 years ,Family,Ready to Move
874,"4 BHK in Vijay Shanthi Rain Forest, Kilpauk","Rain Forest Apartment, Dno.57 (new 26) Taylors Road, Rems Street, ...",150000,1500000,3350,UnFurnished,Newly Constructed,Family,Ready to Move
875,1 BHK in Perungudi,"Standalone Building, Veera Vanchinathan Nagar, 1st Cross Near New ...",7000,35000,500,Semi Furnished,5-10 years ,Family,01-Mar-2019
876,"2 BHK in Aiswarya Apartment, Kodambakkam",Trustpuram Behind Hotel Hollywood,30000,300000,1050,Semi Furnished,3-5 years ,Family,Ready to Move
877,3 BHK in Kottivakkam,"Independent House, Near Nellai Nadar Matric School",45000,270000,2000,Semi Furnished,1-3 years ,Family,Ready to Move
878,1 BHK in Mugappair West,"Independent House, 3rd Block, Near Reliance Digital",-,500000,468,Semi Furnished,5-10 years ,Family,Ready to Move
879,"2 BHK in Sri Rama Flats, Madipakkam","Ram Nagar, Near Sri Oppiliappan Ramar Koil",10000,50000,675,UnFurnished,3-5 years ,Family,01-Mar-2019
880,"3 BHK in standalon building, Nungambakkam","Ponnangipuram, Tirumurthy Near Sri Prasanna Venkatesa Perumal K ...",26000,200000,1350,Semi Furnished,>10 years ,Family,Ready to Move
881,2 BHK in Raghunathapuram,"Standalone Building, Mangadu, Bajanai Koil Street, Near Prasanna ...",7250,40000,1007,UnFurnished,5-10 years ,Family,Ready to Move
882,"1 BHK in Kalyan's temple way near Ayyappan temple perambur, Peram ...",Gurumoorthy Garden Street Near Ayyappa Temple,11000,110000,768,Semi Furnished,>10 years ,Family,Ready to Move
883,"3 BHK in Lancor The Central Park, Old Mahabalipuram Road","Old Mahabalipuram Road, Sholinganallur, Chennai, Tamil Nadu, Indi ...",28000,100000,1799,Semi Furnished,5-10 years ,Family,15-Mar-2019
884,"1 BHK in Swarna Apartment, Perambur","Aper Mills Road, Gopal Colony, Near S2 Cinemas Perambur",7000,60000,500,UnFurnished,5-10 years ,Family,Ready to Move
885,"2 BHK in Shree Subiksha Estate, Choolaimedu","Bajanai Koil 3rd Street, Near Gill Nagar Park And Diya Beauty Par ...",14000,75000,650,Semi Furnished,>10 years ,Family,Ready to Move
886,"3 BHK in Acacia Krishna Kamalam, Anna Nagar West","No.1892, I-block, 18th Street, Thiruvallur Kudiyiruppu, Anna Naga ...",50000,300000,2000,Semi Furnished,Newly Constructed,Family,Ready to Move
887,"1 BHK in Rajeshwari apartments, Madhanandapuram","(tharapakkam) Madha Nagar Main Road, 8th Street Near Karpaga Vina ...",7500,50000,550,Semi Furnished,5-10 years ,All,01-Mar-2019
888,2 BHK in Vellakkal,"Standalone Building, Medavakkam Main Rd, Near Velakallu Bus Stop, ...",13000,78000,1000,Semi Furnished,5-10 years ,Family,Ready to Move
889,"3 BHK in Millennium Central, Korattur","Periyar Nagar Central Avenue, Korattur, Chennai.",20000,150000,1250,Semi Furnished,1-3 years ,All,Ready to Move
890,2 BHK in Thiruvanmiyur,"Independent House, Kalakshetra Rd, Near Kalakshetra Foundation",15000,50000,800,Semi Furnished,5-10 years ,Family,Ready to Move
891,2 BHK in West Mambalam,"Standalone Building, South Kavarai St, Near Srinivasa Theatre",12500,50000,600,Full Furnished,>10 years ,Family,Ready to Move
892,"3 BHK in Prestige Bella Vista, Porur",", Mount Poonamalle High Rd, Pushpa Nagar, Iyyappanthangal, Chenna ...",30000,250000,1938,Semi Furnished,Newly Constructed,All,Ready to Move
893,"2 BHK in Dsr Nehaa Sree Flats, Nanmangalam",Dsr Nehaa Sree Flats,9500,50000,787,UnFurnished,5-10 years ,All,Ready to Move
894,"2 BHK in Kgeyes Venkatam, Raja Annamalai Puram","Govindaswamy Nagar, R.a. Puram, Chennai-600028, Tamil Nadu, India ...",27000,150000,900,Semi Furnished,>10 years ,Family,15-Feb-2019
895,"2 BHK in Sangara homes, Kundrathur",Sakthi Nagar Near Thiru Ooraga Perumal Temple,7000,50000,713,UnFurnished,1-3 years ,Family,Ready to Move
896,"1 BHK in Ravi Enclave, Nanganallur, Chennai, Tamil Nadu, India",Kk Nagar 2nd Street,15000,75000,500,Full Furnished,3-5 years ,All,Ready to Move
897,2 BHK in Velachery,"Independent House, Tnhb Main Rd, Near State Bank Of India",16000,96000,950,UnFurnished,3-5 years ,Family,17-Feb-2019
898,"3 BHK in India Bulls Apartment, Medavakkam","Jalladianpet, Perumbakkam Main Rd, Vgp Prabhu Nagar Near Nilgiris ...",18000,100000,1750,Semi Furnished,5-10 years ,Family,Ready to Move
899,1 RK in Porur,"Standalone Building, Jaya Nagar, Near Vetri Driving School Porur",3000,20000,250,UnFurnished,3-5 years ,Bachelors,Ready to Move
900,"2 BHK in Sri Skanda Nivas, Madipakkam",Ram Nagar Near Ramar Kovil,15000,75000,1050,Semi Furnished,3-5 years ,Family,Ready to Move
901,1 BHK in Shenoy Nagar,"Standalone Building, East Club Rd, Kvn Puram, Near Swimming Pool",11000,50000,700,UnFurnished,Newly Constructed,All,Ready to Move
902,"3 BHK in Annai Sai, Madambakkam","Shanthi Nikethan Colony, Near Government High School",13000,90000,1100,UnFurnished,1-3 years ,All,01-Mar-2019
903,"2 BHK in Gt Cholayil Residency, Koyambedu","Poonamallee High Road, Pillaiyar Koil St, Koyambedu, Chennai, Tam ...",18000,120000,1225,Semi Furnished,5-10 years ,Family,Ready to Move
904,"2 BHK in Nabin Homes, Perumbakkam",Near Chettinadu Villas And Advent Christian Church,9500,60000,750,Semi Furnished,5-10 years ,Family,01-Mar-2019
905,2 BHK in Egmore,"Independent House, Komaleeswaranpet, Near Egmore Court, And Chief ...",-,1200000,600,UnFurnished,>10 years ,Family,30-Mar-2019
906,"1 BHK in Akshaya Apartments, Alwarpet","Tt Krishnamachari Rd, Near Boston International School",18000,100000,650,UnFurnished,>10 years ,Family,Ready to Move
907,"1 BHK in indian flats, Shenoy Nagar",East Club Road Near Confianza Finishing School,11500,50000,550,UnFurnished,5-10 years ,All,Ready to Move
908,"3 BHK in Salama Enclave, Saligramam",Kumaran Colony Near Ssr Pankajam Gardens,23500,100000,1185,Semi Furnished,>10 years ,Family,Ready to Move
909,"2 BHK in Shree Appartment, Madipakkam","Bazaar Main Rd Sadasiva Nagar, Near Saraswathy Multispeciality Ho ...",16000,100000,750,Full Furnished,5-10 years ,All,25-Feb-2019
910,1 BHK in Old Washermanpet,"Standalone Building, Mcm Garden, 1st Street Near Maharani Theater ...",6000,60000,500,UnFurnished,1-3 years ,All,Ready to Move
911,"2 BHK in Puzhuthivakkam, GaneshNagar, 6th Street","Independent House, Balaji Nagar Main Rd,near Vyasa Vidyalayam Ma ...",11000,60000,900,UnFurnished,>10 years ,Family,Ready to Move
912,1 RK in Adyar,"Independent House, Indira Nagar,near Bril Inks Factory",5000,20000,220,UnFurnished,>10 years ,All,Ready to Move
913,"2 BHK in Karthick Apartment, Velachery","Ram Nagar, Ramnagar South, Dhadeswaram Nagar, Near Thangam Metal ...",17000,100000,850,Semi Furnished,5-10 years ,Family,Ready to Move
914,"2 BHK in Kings Park Apartments , Kodambakkam",Near Kodambakkam Power House,20000,150000,1200,Semi Furnished,>10 years ,Family,Ready to Move
915,"2 BHK in Sai Sakthi Flats, Ambattur","15th Avenue, East Banu Nagar Near Tata Communications",12000,60000,875,Semi Furnished,5-10 years ,Family,Ready to Move
916,1 BHK in Ambattur,"Standalone Building, N Park St Venkatapuram, Near Perunthalaivar ...",6000,40000,400,UnFurnished,3-5 years ,All,10-Feb-2019
917,2 BHK in Vadapalani,"Standalone Building, Jawaharlal Nehru Salai, Near Sims Hospital",13500,60000,1200,Semi Furnished,>10 years ,Family,Ready to Move
918,"2 BHK in SRI VARI HOMES, Manapakkam","Mettu Colony Manappakkam Main Road, Nehru Colony, Ambedkar Nagar, ...",14000,85000,969,Semi Furnished,3-5 years ,All,01-Mar-2019
919,"2 BHK in Ratna Gardens, Thoraipakkam","Kotivakkam, Raju Nagar, Near Aazhikandeswarar - Sivan Temple, Gui ...",18000,50000,1600,Semi Furnished,3-5 years ,All,Ready to Move
920,"3 BHK in Appaswamy Cityside Apartment, Perungudi","Appaswamy Cityside Apartment, Omr , Perungudi, Chennai, Tamil Nad ...",32000,200000,1360,Full Furnished,3-5 years ,Family,01-Mar-2019
921,"2 BHK in Sri Mahalakshmi Apartments, Adambakkam","City Link Road, N.g.o. Colony, Ganesh Nagar, Adambakkam, Chennai, ...",12000,50000,700,UnFurnished,>10 years ,Family,13-Feb-2019
922,"2 BHK in Vedanshi Apartments, Velachery","Velachery Bypass Rd, Lakshmi Nagar, Velachery, Chennai, Tamil Nad ...",25000,250000,975,Semi Furnished,Newly Constructed,Family,Ready to Move
923,2 BHK in Golden Opulence - 2 Bhk & 3 Bhk Residential Apartments I ...,"On P.h.road,nh-4,poonamallee, Chennai, Tamilnadu-600056, Chennai, ...",18000,150000,1100,Semi Furnished,Newly Constructed,Family,Ready to Move
924,"2 BHK in ashwin krishna basil, Porur","Meyammai Atreet,ambal Nagar,near Grd Kalayana Mandapam",22000,200000,1000,Semi Furnished,Newly Constructed,Family,Ready to Move
925,4 BHK in Adyar,"Independent House, Indira Nagar, Near Flux Fitness Studio",70000,400000,2300,Semi Furnished,>10 years ,Family,01-Jun-2019
926,3 BHK in Sembakkam,"Standalone Building, Near M.a.v. Swimming Pool",15000,750000,1200,Semi Furnished,5-10 years ,Family,Ready to Move
927,"2 BHK in Vijaya Garden, Nesapakkam, Chennai, Tamil Nadu, India","Bharathiyar Street, Kaikankuppam, Near Lamech School And Megamart ...",15000,50000,850,Semi Furnished,5-10 years ,Family,Ready to Move
928,1 BHK in Pallavaram,"Independent House, Kannabiran Koil St, Periyar Nagar Near Pillaiy ...",-,200000,300,Semi Furnished,1-3 years ,Family,Ready to Move
929,"3 BHK in Ssm Nagar, Perungalathur","Alappakam, New Perungalathur, Chennai, Tamil Nadu, India.",15000,90000,1400,Semi Furnished,Newly Constructed,All,Ready to Move
930,2 BHK in New Perugalathur,"Standalone Building, Sathyamoorty Road Near Srinivasa Perumal Te ...",10000,60000,840,Semi Furnished,3-5 years ,All,Ready to Move
931,"2 BHK in Tamizh, Anna Nagar","Shanthi Colony, Jawahar Colony Near Natesan Institute Of Co-opera ...",25000,150000,1080,Semi Furnished,3-5 years ,Family,Ready to Move
932,1 BHK in Perambur,"Standalone Building, 5th Main Road, Jawahar Nagar Near Icici Bank ...",7000,40000,400,Semi Furnished,>10 years ,Family,Ready to Move
933,"2 BHK in Arumbakkam, Chennai, Tamil Nadu, India","Independent House, Tsd Nagar1st Main Road",27000,200000,1300,UnFurnished,>10 years ,Family,Ready to Move
934,"1 BHK in Madanan Kuppam,","Standalone Building, Mugambigai Nagar, Near Soka Ikeda College O ...",8000,50000,600,Semi Furnished,Newly Constructed,Family,Ready to Move
935,"3 BHK in Nityasree, Perungudi","Cbi Colony 7th Cross Street,near Sangford Schools,",27000,100000,1350,Semi Furnished,5-10 years ,Family,07-Mar-2019
936,1 RK in Koyambedu,"Standalone Building, Sentamil Nagar Near Dayasadan Agarwal Vidyal ...",4000,20000,200,UnFurnished,3-5 years ,Bachelors,01-Mar-2019
937,2 BHK in Pallavaram,"Standalone Building, Near Sivandhi Adhithanar Kalyana Mandapam",10000,60000,700,UnFurnished,3-5 years ,Family,31-Mar-2019
938,3 BHK in Injambakkam,"Independent House, Vgp Golden Beach Resort, Injambakkam, Chennai",28000,120000,1600,Semi Furnished,Newly Constructed,Family,01-Apr-2019
939,2 BHK in Choolaimedu,"Standalone Building, Gangai Amman Koil Street Near Nungambakkam A ...",15000,100000,750,UnFurnished,5-10 years ,Bachelors,Ready to Move
940,"2 BHK in Thendral, Adyar",Indira Nagar Near Cee Dee Yes Super Shoppee And Nu Tech Creche,28000,168000,750,Full Furnished,1-3 years ,Family,01-Mar-2019
941,2 BHK in Kanathur,"Independent House, East Coast Rd Near Amet University",20000,80000,1500,Semi Furnished,5-10 years ,Family,Ready to Move
942,1 RK in Saidapet West,"Standalone Building, West Jones Rd, Near Jayaraj Theatre And Csr ...",3500,15000,200,UnFurnished,>10 years ,All,Ready to Move
943,2 BHK in medavakkam,"Independent House, Venkateshwara Nagar Main Road",15000,90000,990,Semi Furnished,5-10 years ,Family,08-Mar-2019
944,"2 BHK in Radiance Empire, Perambur","Door No. 9 ?a? To 9?o?, Stephenson Road, Perambur, Chennai, Tamil ...",20000,200000,940,Semi Furnished,Newly Constructed,Family,10-Feb-2019
945,"2 BHK in Raja's Pride Apartment, Chromepet","15th Cross Street, New Colony,mit Flyover, Near Pachaiyappa Pharm ...",16000,60000,910,UnFurnished,Newly Constructed,Family,Ready to Move
946,"2 BHK in Marutham Apartments, Thiruvanmiyur","Marutham Apartments, 3rd Main Rd, Valmiki Nagar, Kannappa Nagar, ...",15000,90000,770,Semi Furnished,5-10 years ,All,01-Mar-2019
947,2 BHK in Tambaram,"Standalone Building, Near Sanatorium Railway Station Bike Stand,i ...",12000,120000,700,Semi Furnished,5-10 years ,All,Ready to Move
948,"2 BHK in Jean House, Chetpet","Jayavinayagar Koil Street, Near G 7 Chetpet Police Station",15000,150000,750,UnFurnished,5-10 years ,All,Ready to Move
949,2 BHK in Perumbakkam,"Independent House, Pushkin Street, Arasankazhani, Near Oxygen By ...",18000,180000,1400,UnFurnished,Newly Constructed,Family,Ready to Move
950,3 BHK in Vengaivasal,"Independent House, Sabapathy Nagar, Near Anjaneyar Koil",25000,150000,2100,Semi Furnished,Newly Constructed,Family,Ready to Move
951,"1 BHK in sai krupa appartments, Pozhichalur","Rajajistreet,moovar Nagar,",10000,20000,600,Semi Furnished,Newly Constructed,Family,Ready to Move
952,"1 BHK in Puthagaram Colony, Madura Madanan Kuppam, Chennai, Tamil ...","Independent House, Puthagaram,sri Lakshmi Amman Nagar,near Meenak ...",5500,55000,550,UnFurnished,Newly Constructed,Family,Ready to Move
953,"2 BHK in Prince Island, Porur","Ramachandra Nagar, Near Sri Ramachandra Hospital",22000,198000,1150,Semi Furnished,Newly Constructed,All,Ready to Move
954,"3 BHK in Appaswamy Mapleton, Pallikaranai","Velachery - Tambaram Main Road, Narayanapuram, Pallikaranai, Chen ...",20000,200000,1322,Semi Furnished,1-3 years ,Family,Ready to Move
955,"3 BHK in Shanthi Sagar Apartment, Valasaravakkam","Fathima Nagar, Near Ceebros Park",17000,90000,1051,Semi Furnished,>10 years ,Family,Ready to Move
956,"4 BHK in metro zone, Anna Nagar",Awaharlal Nehru Salai Near Vcare Hospital,60000,1,2662,UnFurnished,3-5 years ,Family,Ready to Move
957,3 BHK in Triplicane,"Standalone Building, Svm Nagar, Police Quarters, Near Al Malick M ...",15000,100000,780,Semi Furnished,>10 years ,All,Ready to Move
958,"2 BHK in Indira Tulips, Selaiyur","Selaiyur, Chennai, Tamil Nadu, India.",10000,25000,988,Semi Furnished,3-5 years ,Family,Ready to Move
959,"2 BHK in Ramachandran flat, Selaiyur","Kaspapuram, Near Lydia Matriculation School",1000,60000,950,Semi Furnished,Newly Constructed,Family,Ready to Move
960,1 BHK in Porur,"Standalone Building, Ramachandra Nagar, Near Sri Ramachandra Coll ...",12000,120000,600,Semi Furnished,Under Construction,Family,Ready to Move
961,2 BHK in Porur,"Standalone Building, Ramachandra Nagar, Near Sri Ramachandra Coll ...",18000,180000,925,Semi Furnished,Under Construction,Family,Ready to Move
962,2 BHK in Ayappakkam,"Independent House, Ambattur, Mgr Puram West,near Bbcl Navarathina ...",8000,50000,650,UnFurnished,Newly Constructed,All,Ready to Move
963,"3 BHK in Casagrand Elan Rd, Semmancheri","Casagrand Elan Rd, Semmancheri, Chennai, Tamil Nadu 600130, India ...",19500,190000,1640,Semi Furnished,Newly Constructed,Family,Ready to Move
